11.8,6.88,36.0,-47.6
11.3,5.93,35.7,-52.3
10.7,5.07,35.4,-55.9
10.1,4.29,34.9,-58.3
9.55,3.6,34.4,-59.5
8.96,3.02,33.8,-59.6
8.36,2.53,33.1,-58.7
7.78,2.13,32.4,-57.0
7.23,1.81,31.7,-54.7
6.69,1.56,31.0,-51.8
6.19,1.38,30.2,-48.6
5.72,1.25,29.5,-45.0
5.29,1.18,28.8,-41.4
4.89,1.14,28.1,-37.8
4.53,1.14,27.4,-34.2
4.21,1.17,26.7,-30.7
3.92,1.22,26.1,-27.5
3.66,1.29,25.4,-24.4
3.43,1.37,24.8,-21.6
3.23,1.47,24.2,-18.9
3.06,1.57,23.6,-16.3
2.91,1.68,23.0,-13.7
2.78,1.79,22.4,-11.2
2.68,1.91,21.9,-8.71
2.6,2.05,21.3,-6.2
2.55,2.2,20.8,-3.72
2.52,2.37,20.3,-1.35
2.53,2.56,19.9,0.8690000000000001
2.55,2.76,19.4,2.88
2.59,2.97,19.0,4.68
2.64,3.19,18.6,6.25
2.71,3.42,18.2,7.64
2.79,3.66,17.8,8.88
2.88,3.92,17.4,10.1
2.99,4.19,17.1,11.2
3.12,4.48,16.8,12.5
3.25,4.79,16.5,14.1
3.4,5.12,16.2,15.9
3.57,5.47,15.9,18.1
3.76,5.85,15.7,20.8
3.97,6.27,15.5,23.7
4.21,6.72,15.4,26.7
4.49,7.23,15.3,29.7
4.81,7.78,15.3,32.4
5.15,8.37,15.3,34.7
5.53,9.0,15.4,36.6
5.91,9.65,15.6,38.0
6.31,10.3,15.7,39.4
6.7,11.0,16.0,40.8
7.11,11.6,16.3,42.6
7.53,12.3,16.7,44.8
7.98,13.0,17.2,47.6
8.46,13.7,17.8,50.7
8.98,14.4,18.5,53.7
9.54,15.1,19.4,56.2
10.1,15.8,20.5,57.7
10.7,16.4,21.6,58.1
11.3,16.9,22.9,57.0
11.9,17.2,24.3,54.5
12.4,17.4,25.7,50.6
12.9,17.4,27.2,45.4
13.3,17.2,28.7,39.2
13.6,16.8,30.2,31.8
13.9,16.3,31.7,23.5
14.1,15.5,33.1,14.1
14.2,14.5,34.3,3.83
14.2,13.4,35.4,-7.15
14.1,12.2,36.3,-18.5
13.8,10.9,36.9,-29.8
13.5,9.53,37.3,-40.4
13.0,8.17,37.5,-49.8
12.5,6.85,37.4,-57.7
11.9,5.6,37.2,-63.5
11.2,4.47,36.8,-67.4
10.5,3.47,36.2,-69.4
9.79,2.62,35.6,-69.8
9.1,1.92,34.9,-68.9
8.43,1.36,34.2,-67.3
7.77,0.9279999999999999,33.4,-65.3
7.14,0.593,32.6,-63.0
6.53,0.336,31.8,-60.5
5.94,0.138,31.0,-57.9
5.37,-0.012,30.2,-55.0
4.83,-0.12300000000000001,29.4,-51.6
4.32,-0.19899999999999998,28.5,-47.8
3.86,-0.24,27.7,-43.4
3.44,-0.24600000000000002,27.0,-38.7
